Item,$AQ_​INDEX,$ROCK_​COMP,$POVOMULT,$PERM_​2,$PERM_​1,$KRWMAX,PWS1,PWS2,PWS3,PWS4,PWS5,OIL_CUM,WATER_CUM,WC1,WC2,PWFEND
BU_MACH5_182,0.470935197,9.12E-06,0.127313724,0.052937975,0.1480262,0.478181433,1128.773804,163.1743469,266.5785828,851.9245605,1.50E+03,1945086.5,4220125,0.253072113,0.894653261,1340.600586
BU_MACH5_183,0.511626966,5.94E-06,0.102948491,0.041063817,0.13384053,0.618275552,1117.449219,152.1807251,306.6363525,895.2814331,8.89E+02,1884547.875,5148224,0.489216387,0.906493425,519.0406494
BU_MACH5_184,0.306923063,5.59E-06,0.928832679,0.066079878,0.174670746,0.648473434,1276.162109,331.4285889,345.4656372,962.7134399,1.37E+03,1953384,4.00E+06,1.10E-05,0.895358801,1393.042725
BU_MACH5_185,0.452994464,5.52E-06,0.190908158,0.044428827,0.149005623,0.496700217,1067.554932,139.0345001,222.4932709,946.1906738,1.23E+03,1926024.125,4583689,0.350841582,0.899570525,958.4983521
BU_MACH5_186,0.681078671,2.71E-06,0.716216352,0.057676846,0.174248887,0.627275002,1410.821167,286.5871887,633.453186,1001.65271,1.06E+03,1952908.25,5171223.5,0.451638371,0.905050576,791.2620239
BU_MACH5_187,0.623398834,1.01E-06,0.15652946,0.041329394,0.178381995,0.516136448,1467.760742,197.6470947,579.1953125,1598.643066,1.13E+03,1835686.375,5348396,0.561510503,0.907781959,461.7983398
BU_MACH5_188,0.525915879,2.05E-06,0.636551506,0.042678347,0.154674232,0.46724134,1257.621826,214.7453766,401.5638428,1045.082031,1.32E+03,1937280,4601146,0.363696843,0.899321079,955.4275513
BU_MACH5_189,0.30874387,1.83E-06,0.576378759,0.055842391,0.136702106,0.490018555,812.3892212,66.77467346,70.22600555,521.2918701,1.81E+03,1920833.5,3813476.25,0.04981456,0.891771197,1782.261963
BU_MACH5_190,0.503087301,6.42E-06,0.340282614,0.059905384,0.152026986,0.666432417,1238.930542,193.6598206,359.7775574,808.8965454,1.13E+03,1952412.25,4707126.5,0.342685908,0.901006818,1016.824829
BU_MACH5_191,0.48248052,3.62E-06,0.20661634,0.04146754,0.132720043,0.481391308,1095.161377,148.7738953,265.8316956,963.2044067,1.39E+03,1911937.25,4513208.5,0.413495988,0.897731781,1038.616699
